Fiscal Year,Month,Region,Affiliate,Channel,Sub-Channel,Brand,Sub-Brand,Gender,Category,FX Type,Net Revenue,Units Sold,Inventory
2021,October,Americas,Canada,Wholesale,Franchise,Dockers,,Mens,Accessories,2021 Actual Rate,150931.00,5805.00,6676.00
2021,October,Americas,Canada,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,FCST4 Rate,183404.00,9170.00,10179.00
2021,October,Americas,Canada,Wholesale,Franchise,Denizen,,Mens,Bottoms,2021 Actual Rate,183253.00,6319.00,7709.00
2021,October,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,2021 Actual Rate,160080.00,6403.00,7428.00
2021,October,Americas,US,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,179575.00,6651.00,7582.00
2021,October,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,2021 Actual Rate,182570.00,7938.00,8811.00
2021,October,Americas,US,Wholesale,Wholesale,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,178065.00,7123.00,8333.00
2021,October,Europe,Germany,Wholesale,Franchise,Signature,,Womens,Tops,2021 Actual Rate,151442.00,6884.00,7572.00
2021,October,Europe,Germany,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,191876.00,6396.00,7227.00
2021,October,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,152220.00,7611.00,9362.00
2021,October,Europe,Germany,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,188334.00,11078.00,12297.00
2021,October,Europe,France,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,180469.00,8594.00,10141.00
2021,October,Europe,France,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,162808.00,9045.00,10763.00
2021,October,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,199475.00,11734.00,13963.00
2021,October,Europe,France,Wholesale,Franchise,Denizen,,Womens,Tops,2021 Actual Rate,175983.00,6518.00,8147.00
2021,October,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,169907.00,6796.00,7476.00
2021,October,Asia,Singapore,Wholesale,Franchise,Denizen,,Mens,Footwear,2021 Actual Rate,176303.00,9795.00,11754.00
2021,October,Asia,Singapore,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,FCST10 Rate,179894.00,5996.00,7136.00
2021,October,Asia,Singapore,DTC,Ecomm,Levis,Levis Mens,Mens,Footwear,FCST4 Rate,156099.00,6787.00,7941.00
2021,October,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,191916.00,9139.00,10327.00
2021,October,Asia,Singapore,Wholesale,Wholesale,Levis,Levis Mens,Mens,Bottoms,FCST4 Rate,174595.00,8730.00,10650.00
2021,October,Asia,China,Wholesale,Franchise,Levis,Levis Womens,Womens,Accessories,FCST4 Rate,182826.00,7032.00,7524.00
2021,October,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,FCST7 Rate,171324.00,7787.00,9033.00
2021,October,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,168090.00,8847.00,10085.00
2021,October,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,165437.00,8272.00,10174.00
2021,October,Asia,China,DTC,Concessionaire,Denizen,,Mens,Footwear,FCST4 Rate,174133.00,8292.00,10199.00
2021,September,Americas,Canada,Wholesale,Wholesale,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,180565.00,6019.00,6380.00
2021,September,Americas,Canada,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,160207.00,6675.00,8010.00
2021,September,Americas,Canada,DTC,Commissionaire,Dockers,,Womens,No Product Category,FCST10 Rate,194181.00,7192.00,7551.00
2021,September,Americas,Canada,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,186426.00,9321.00,11372.00
2021,September,Americas,US,DTC,Ecomm,Signature,,Womens,Tops,FCST4 Rate,165002.00,7857.00,9429.00
2021,September,Americas,US,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,168277.00,6010.00,6370.00
2021,September,Americas,US,DTC,Concessionaire,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,163517.00,9084.00,11355.00
2021,September,Americas,US,Wholesale,Licensing,Dockers,,Mens,Tops,2021 Actual Rate,186881.00,6674.00,8276.00
2021,September,Europe,Germany,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,FCST4 Rate,182476.00,9604.00,10853.00
2021,September,Europe,Germany,Wholesale,Franchise,Denizen,,Womens,Tops,FCST4 Rate,196413.00,7857.00,8328.00
2021,September,Europe,Germany,DTC,Concessionaire,Levis,Levis Womens,Womens,Accessories,FCST10 Rate,171977.00,5930.00,6464.00
2021,September,Europe,Germany,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,180626.00,7225.00,8092.00
2021,September,Europe,France,DTC,Outlet,Dockers,,Mens,Bottoms,FCST7 Rate,177191.00,7383.00,8121.00
2021,September,Europe,France,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,177094.00,8433.00,10541.00
2021,September,Europe,France,Wholesale,Franchise,Levis,Levis Womens,Womens,Accessories,FCST7 Rate,197836.00,10991.00,13629.00
2021,September,Europe,France,DTC,Commissionaire,Dockers,,Womens,Tops,2021 Actual Rate,167901.00,7995.00,9115.00
2021,September,Europe,France,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,192314.00,7123.00,7764.00
2021,September,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,198716.00,7643.00,8942.00
2021,September,Asia,Singapore,Wholesale,Franchise,Signature,,Mens,Bottoms,2021 Actual Rate,150662.00,5022.00,5976.00
2021,September,Asia,Singapore,DTC,Ecomm,Levis,Levis Womens,Womens,Accessories,2021 Actual Rate,166679.00,7937.00,9683.00
2021,September,Asia,Singapore,DTC,Commissionaire,Dockers,,Mens,Bottoms,2021 Actual Rate,196221.00,8176.00,9239.00
2021,September,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,199336.00,11726.00,13954.00
2021,September,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,No Product Category,2021 Actual Rate,152164.00,7608.00,8978.00
2021,September,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,2021 Actual Rate,195860.00,10308.00,11442.00
2021,September,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,FCST10 Rate,153208.00,6128.00,7109.00
2021,September,Asia,China,DTC,Concessionaire,Denizen,,Mens,Bottoms,2021 Actual Rate,159413.00,5904.00,7085.00
2021,September,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,197744.00,7606.00,9279.00
2021,August,Americas,Canada,DTC,Ecomm,Levis,Levis Womens,Womens,Accessories,2021 Actual Rate,158044.00,6871.00,8383.00
2021,August,Americas,Canada,Wholesale,Licensing,Denizen,,Mens,No Product Category,FCST10 Rate,172433.00,7185.00,8622.00
2021,August,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,180010.00,6207.00,6952.00
2021,August,Americas,Canada,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,FCST4 Rate,190524.00,7056.00,7621.00
2021,August,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,169920.00,6069.00,6736.00
2021,August,Americas,US,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,170168.00,6077.00,7050.00
2021,August,Americas,US,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,179854.00,6423.00,6873.00
2021,August,Americas,US,Wholesale,Franchise,Signature,,Mens,Tops,2021 Actual Rate,153002.00,6955.00,7302.00
2021,August,Europe,Germany,DTC,Ecomm,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,193735.00,6681.00,7616.00
2021,August,Europe,Germany,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,196858.00,7874.00,8662.00
2021,August,Europe,Germany,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,191916.00,7677.00,9519.00
2021,August,Europe,Germany,DTC,Ecomm,Levis,Levis Womens,Womens,No Product Category,2021 Actual Rate,195876.00,6996.00,8115.00
2021,August,Europe,France,DTC,Concessionaire,Levis,Levis Mens,Mens,No Product Category,2021 Actual Rate,182849.00,7619.00,8990.00
2021,August,Europe,France,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,185514.00,7730.00,9662.00
2021,August,Europe,France,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,192456.00,10129.00,12155.00
2021,August,Europe,France,DTC,Ecomm,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,157779.00,6068.00,6433.00
2021,August,Europe,France,DTC,Ecomm,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,152534.00,6101.00,7444.00
2021,August,Asia,Singapore,DTC,Ecomm,Signature,,Mens,No Product Category,FCST7 Rate,152792.00,8488.00,10611.00
2021,August,Asia,Singapore,Wholesale,Franchise,Dockers,,Mens,Footwear,FCST7 Rate,188621.00,9431.00,11317.00
2021,August,Asia,Singapore,DTC,Ecomm,Levis,Levis Womens,Womens,No Product Category,2021 Actual Rate,191236.00,7355.00,8091.00
2021,August,Asia,Singapore,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,FCST4 Rate,168226.00,9346.00,11028.00
2021,August,Asia,Singapore,DTC,Concessionaire,Levis,Levis Mens,Mens,Accessories,2021 Actual Rate,194237.00,9712.00,10683.00
2021,August,Asia,China,DTC,Outlet,Denizen,,Womens,Tops,2021 Actual Rate,154273.00,5142.00,6017.00
2021,August,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,178055.00,7419.00,8532.00
2021,August,Asia,China,Wholesale,Franchise,Dockers,,Mens,Accessories,FCST4 Rate,175591.00,9242.00,9889.00
2021,August,Asia,China,DTC,Ecomm,Dockers,,Mens,Tops,2021 Actual Rate,177411.00,6824.00,7506.00
2021,August,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,154390.00,8126.00,9263.00
2021,July,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,197180.00,8216.00,9120.00
2021,July,Americas,Canada,DTC,Concessionaire,Denizen,,Mens,Bottoms,2021 Actual Rate,170353.00,7407.00,8814.00
2021,July,Americas,Canada,DTC,Ecomm,Dockers,,Womens,Bottoms,2021 Actual Rate,189811.00,9491.00,10155.00
2021,July,Americas,Canada,Wholesale,Franchise,Dockers,,Mens,Bottoms,2021 Actual Rate,171531.00,6353.00,6988.00
2021,July,Americas,US,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,188558.00,6285.00,7228.00
2021,July,Americas,US,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,181688.00,6729.00,8142.00
2021,July,Americas,US,Wholesale,Franchise,Levis,Levis Mens,Mens,No Product Category,2021 Actual Rate,183726.00,7655.00,9493.00
2021,July,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,FCST10 Rate,161460.00,8498.00,9008.00
2021,July,Europe,Germany,DTC,Concessionaire,Denizen,,Womens,Bottoms,2021 Actual Rate,169693.00,5656.00,6901.00
2021,July,Europe,Germany,Wholesale,Franchise,Signature,,Womens,Bottoms,2021 Actual Rate,178862.00,6879.00,8255.00
2021,July,Europe,Germany,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,160054.00,8424.00,9182.00
2021,July,Europe,Germany,DTC,Ecomm,Signature,,Womens,Tops,2021 Actual Rate,160752.00,8461.00,8884.00
2021,July,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,FCST7 Rate,189750.00,9987.00,11285.00
2021,July,Europe,France,DTC,Mainline,Levis,Levis Womens,Womens,Bottoms,FCST10 Rate,154854.00,5735.00,6825.00
2021,July,Europe,France,DTC,Concessionaire,Dockers,,Womens,Bottoms,2021 Actual Rate,173441.00,6938.00,8464.00
2021,July,Europe,France,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,182046.00,9581.00,11498.00
2021,July,Europe,France,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,172395.00,7836.00,9168.00
2021,July,Asia,Singapore,DTC,Ecomm,Denizen,,Mens,Footwear,2021 Actual Rate,151143.00,5598.00,5990.00
2021,July,Asia,Singapore,DTC,Ecomm,Levis,Levis Womens,Womens,Footwear,2021 Actual Rate,152599.00,8478.00,9580.00
2021,July,Asia,Singapore,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,FCST10 Rate,159598.00,6650.00,7115.00
2021,July,Asia,Singapore,DTC,Outlet,Levis,Levis Womens,Womens,Tops,FCST7 Rate,178185.00,9899.00,11582.00
2021,July,Asia,Singapore,Wholesale,Franchise,Signature,,Womens,Bottoms,2021 Actual Rate,163672.00,5644.00,6603.00
2021,July,Asia,China,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,FCST4 Rate,177698.00,9353.00,10942.00
2021,July,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,FCST10 Rate,167726.00,7987.00,9904.00
2021,July,Asia,China,Wholesale,Franchise,Denizen,,Womens,Tops,FCST10 Rate,158493.00,6891.00,7580.00
2021,July,Asia,China,Wholesale,Wholesale,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,154495.00,7357.00,8460.00
2021,July,Asia,China,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,188946.00,6998.00,8608.00
2021,June,Americas,Canada,Wholesale,Franchise,Levis,Levis Womens,Womens,Footwear,2021 Actual Rate,160366.00,6972.00,8088.00
2021,June,Americas,Canada,DTC,Concessionaire,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,185897.00,6197.00,7064.00
2021,June,Americas,Canada,Wholesale,Wholesale,Levis,Levis Mens,Mens,Accessories,2021 Actual Rate,186745.00,6916.00,7401.00
2021,June,Americas,Canada,Wholesale,Franchise,Denizen,,Mens,Tops,2021 Actual Rate,182893.00,9145.00,10608.00
2021,June,Americas,US,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,193059.00,7150.00,7579.00
2021,June,Americas,US,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,167786.00,5992.00,7011.00
2021,June,Americas,US,Wholesale,Wholesale,Levis,Levis Mens,Mens,Footwear,FCST4 Rate,163695.00,6548.00,7857.00
2021,June,Americas,US,Wholesale,Licensing,Denizen,,Womens,Tops,2021 Actual Rate,154593.00,5153.00,6338.00
2021,June,Europe,Germany,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,FCST4 Rate,160426.00,6170.00,6787.00
2021,June,Europe,Germany,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,193555.00,6674.00,7675.00
2021,June,Europe,Germany,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,159104.00,6918.00,7748.00
2021,June,Europe,Germany,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,151195.00,6574.00,6968.00
2021,June,Europe,France,Wholesale,Licensing,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,175529.00,6269.00,7021.00
2021,June,Europe,France,DTC,Commissionaire,Levis,Levis Womens,Womens,No Product Category,2021 Actual Rate,190725.00,9536.00,10967.00
2021,June,Europe,France,Wholesale,Franchise,Signature,,Womens,Accessories,2021 Actual Rate,193212.00,7728.00,9197.00
2021,June,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,170056.00,10003.00,12304.00
2021,June,Europe,France,DTC,Ecomm,Signature,,Mens,Tops,FCST7 Rate,155182.00,7390.00,7759.00
2021,June,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Accessories,2021 Actual Rate,164854.00,9159.00,10532.00
2021,June,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,188317.00,6726.00,7936.00
2021,June,Asia,Singapore,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,180556.00,8598.00,10747.00
2021,June,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Accessories,2021 Actual Rate,190668.00,6575.00,7495.00
2021,June,Asia,Singapore,DTC,Concessionaire,Denizen,,Mens,Bottoms,2021 Actual Rate,198193.00,9438.00,11325.00
2021,June,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,164214.00,5663.00,5946.00
2021,June,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,185476.00,6869.00,7419.00
2021,June,Asia,China,Wholesale,Franchise,Denizen,,Mens,Tops,FCST7 Rate,165343.00,5701.00,6956.00
2021,June,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Accessories,2021 Actual Rate,193154.00,8780.00,9219.00
2021,June,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,FCST4 Rate,161328.00,6453.00,8066.00
2021,May,Americas,Canada,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,167368.00,6437.00,7081.00
2021,May,Americas,Canada,DTC,Concessionaire,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,164617.00,5879.00,6408.00
2021,May,Americas,Canada,DTC,Outlet,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,150955.00,6563.00,7613.00
2021,May,Americas,Canada,DTC,Outlet,Denizen,,Womens,Footwear,FCST7 Rate,176113.00,9269.00,10567.00
2021,May,Americas,US,DTC,Concessionaire,Levis,Levis Mens,Mens,Accessories,2021 Actual Rate,157865.00,7176.00,8683.00
2021,May,Americas,US,DTC,Outlet,Denizen,,Mens,Tops,2021 Actual Rate,199563.00,7676.00,8059.00
2021,May,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,FCST7 Rate,187160.00,9851.00,10836.00
2021,May,Americas,US,Wholesale,Wholesale,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,153845.00,6154.00,7261.00
2021,May,Europe,Germany,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,171476.00,8166.00,9880.00
2021,May,Europe,Germany,Wholesale,Franchise,Levis,Levis Womens,Womens,Footwear,2021 Actual Rate,181164.00,6247.00,7746.00
2021,May,Europe,Germany,DTC,Commissionaire,Denizen,,Mens,Tops,FCST7 Rate,187773.00,9883.00,10871.00
2021,May,Europe,Germany,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,194176.00,9246.00,10449.00
2021,May,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Accessories,FCST7 Rate,178244.00,6602.00,8186.00
2021,May,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Footwear,FCST4 Rate,172187.00,6887.00,7714.00
2021,May,Europe,France,DTC,Ecomm,Denizen,,Womens,Bottoms,2021 Actual Rate,154283.00,5510.00,6777.00
2021,May,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,161594.00,5771.00,6579.00
2021,May,Europe,France,Wholesale,Franchise,Signature,,Womens,Bottoms,2021 Actual Rate,196352.00,7013.00,8205.00
2021,May,Asia,Singapore,Wholesale,Franchise,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,193904.00,6925.00,7479.00
2021,May,Asia,Singapore,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,182634.00,7610.00,9132.00
2021,May,Asia,Singapore,DTC,Ecomm,Signature,,Mens,Bottoms,2021 Actual Rate,164142.00,6313.00,7450.00
2021,May,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,178440.00,6863.00,8442.00
2021,May,Asia,Singapore,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,170399.00,6086.00,6694.00
2021,May,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,187275.00,9364.00,11611.00
2021,May,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,190387.00,6346.00,6727.00
2021,May,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,184984.00,7115.00,8609.00
2021,May,Asia,China,Wholesale,Franchise,Levis,Levis Womens,Womens,Accessories,2021 Actual Rate,196156.00,11539.00,13385.00
2021,May,Asia,China,Wholesale,Franchise,Levis,Levis Mens,Mens,No Product Category,2021 Actual Rate,154979.00,9116.00,11304.00
2021,April,Americas,Canada,Wholesale,Licensing,Denizen,,Mens,Tops,FCST4 Rate,198993.00,7370.00,7812.00
2021,April,Americas,Canada,DTC,Ecomm,Levis,Levis Womens,Womens,Footwear,FCST7 Rate,183454.00,8736.00,9522.00
2021,April,Americas,Canada,DTC,Ecomm,Levis,Levis Womens,Womens,Bottoms,FCST4 Rate,198374.00,9446.00,10958.00
2021,April,Americas,Canada,Wholesale,Franchise,Dockers,,Womens,Bottoms,2021 Actual Rate,180301.00,6935.00,8391.00
2021,April,Americas,US,DTC,Outlet,Levis,Levis Womens,Womens,No Product Category,2021 Actual Rate,157647.00,7882.00,9538.00
2021,April,Americas,US,DTC,Ecomm,Dockers,,Womens,Accessories,2021 Actual Rate,161951.00,5998.00,6538.00
2021,April,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,2021 Actual Rate,167390.00,6200.00,6758.00
2021,April,Americas,US,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,151939.00,5844.00,6311.00
2021,April,Europe,Germany,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,FCST10 Rate,155987.00,7090.00,8792.00
2021,April,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,2021 Actual Rate,178250.00,7427.00,8913.00
2021,April,Europe,Germany,DTC,Concessionaire,Denizen,,Womens,Bottoms,2021 Actual Rate,172993.00,9105.00,10106.00
2021,April,Europe,Germany,Wholesale,Franchise,Dockers,,Mens,No Product Category,2021 Actual Rate,156501.00,9206.00,10219.00
2021,April,Europe,France,Wholesale,Franchise,Denizen,,Mens,Tops,2021 Actual Rate,174963.00,6999.00,8608.00
2021,April,Europe,France,DTC,Ecomm,Levis,Levis Womens,Womens,Tops,2021 Actual Rate,151198.00,5815.00,6629.00
2021,April,Europe,France,DTC,Ecomm,Signature,,Mens,Tops,FCST4 Rate,154192.00,7710.00,8249.00
2021,April,Europe,France,DTC,Concessionaire,Denizen,,Mens,No Product Category,FCST10 Rate,185453.00,7418.00,9198.00
2021,April,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,150530.00,5018.00,5620.00
2021,April,Asia,Singapore,DTC,Ecomm,Denizen,,Womens,Bottoms,FCST4 Rate,154083.00,5503.00,6493.00
2021,April,Asia,Singapore,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,193749.00,7176.00,8826.00
2021,April,Asia,Singapore,Wholesale,Franchise,Levis,Levis Womens,Womens,Accessories,2021 Actual Rate,190367.00,8277.00,8773.00
